Date,ABEV,AC,AMXB,AXIA3,BAP,BBAS3,BBD,BIMBOA,BSAC,CEMEXCPO,CENCOSUD,CIB,FALABELLA,FEMSAUBD,GCARSOA1,GFNORTEO,GGB,GMEXICOB,ISA,ITSA4,ITUB,PAC,PBR,PBR-A,RENT3,SBSP3,SCCO,SQM,VALE,VIV,WALMEX,WEGE3,Median,label_ABEV,label_AC,label_AMXB,label_AXIA3,label_BAP,label_BBAS3,label_BBD,label_BIMBOA,label_BSAC,label_CEMEXCPO,label_CENCOSUD,label_CIB,label_FALABELLA,label_FEMSAUBD,label_GCARSOA1,label_GFNORTEO,label_GGB,label_GMEXICOB,label_ISA,label_ITSA4,label_ITUB,label_PAC,label_PBR,label_PBR-A,label_RENT3,label_SBSP3,label_SCCO,label_SQM,label_VALE,label_VIV,label_WALMEX,label_WEGE3
2023-11-27,0.003636303399371821,-0.0037370781332893843,-0.006531678253374973,0.02000482046445562,-0.023790914779683647,0.018445893321244355,-0.006060550933414399,0.0011644019972687492,-0.0015607589780075593,-0.029461163542436775,-0.011392381514796046,0.023171480881229556,-0.011206929783813657,-0.012248552088820808,0.017427899593938534,-0.022061540973837723,-0.019522681096792893,-0.04515444790760115,-0.007873958714519347,0.007071076179450131,0.0016107113171366372,0.01244658428816603,-0.00587088377967826,-0.0076494826771345,-0.013377936885428654,-0.009076237052677683,-0.04312086503915724,-0.022222134952484818,-0.011288117396295538,0.006628788981750899,-0.028905056495986736,0.012455271751078634,-0.007090580465254737,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
2023-11-28,0.010869583480059397,0.006982999916594679,0.0,-0.006779559290872261,0.0012743207143048885,0.014450740703763731,0.02743894927281154,0.00023260954843107307,0.0031265124416299805,0.011274953935453524,-0.004481424688872804,-0.003538470198224286,0.015436685500187952,0.006648149492651578,0.007137237767615545,-0.0014412080025555385,0.017699019194651555,-0.013550410019444015,0.005290940773586605,0.0026077465481544326,0.025723215383491205,0.011207133029306648,0.01640436392011213,0.019621401668082017,0.0010170076163500408,-0.00014769385641377752,0.011688605766816407,0.0074415849403295375,0.013431831955013518,-0.0009412147834676476,0.009621245711369797,0.006736890875920443,0.006859945396257561,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0
2023-11-29,-0.02508968002635914,-0.003438568790827601,0.017094042649095975,-0.0068259410904581985,0.0016703638140449506,0.0015195821507496543,-0.011869671025839246,0.006046534933051628,0.0005195949748577622,0.03430527237658865,0.0025723418642660256,-0.008167817542265698,0.019696941972891624,0.005808044613849761,0.05605563057544716,-0.01079373387806748,-0.010869415341546285,0.03681347515866662,-0.0026314311392868772,0.003151299537387242,-0.0015671582155408759,-0.016187692187461078,-0.01743072387540323,-0.014432965335529513,0.00287836603156566,-0.012559201855778857,-0.0009743254404670498,0.009782481242857077,-0.009940434963724654,0.007533548152410363,-0.000893462674428358,-0.00698288716986184,-0.0009338940574477039,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
2023-11-30,0.007353020815908717,0.018460012122044622,0.019392436013172754,0.0029453724359091993,-0.0031763428460664933,0.029205404835547455,0.0,0.008784087089353632,0.016095529257587282,0.0008290901359120362,0.039127644531462336,-0.012173066777509511,0.008420035415400484,0.028778912367470433,0.057173480215101824,0.025312312843531526,-0.019780119984999067,0.057101099439276215,0.0,0.020942253079161866,0.004708960035402443,0.03953025069892946,0.0032852660724629335,0.014644326390688356,0.013675534714785664,0.010923252566080732,0.00222930404743904,-0.0067220680742446914,0.004016032536450886,0.0,0.01907604113567163,0.0017581483215618476,0.008602061252377058,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
2023-12-01,0.040145919273903985,-0.01524570782896184,0.012048069236105352,0.0036710624530298386,0.022464832617854702,0.002026553164417466,0.009009276057063476,-0.00011461834477166644,0.0025548174521001776,0.026512110421731627,-0.015432066457793936,0.024646456268403005,0.0289291653403958,-0.011859465092600718,-0.0033006839731886117,-0.011323028283646952,0.020179268333852196,-0.00513841047920538,0.003957560757543277,0.00241920526691497,0.005316283124426002,0.0004599240646321334,-0.00392941012917325,-0.0013745885072280473,0.011658973811998763,0.016281825586073717,0.06687032038232688,0.07484079870816784,0.02466668240032721,0.0028032906322483786,-0.015355411638469318,0.017256452125794075,0.0038143116052865578,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
2023-12-04,-0.010526238212202998,0.018406029660356316,0.003132863661289065,-0.006583616280332882,-0.011920607248460446,-0.003861606300848197,-0.02562565401806538,0.0016043818779463148,-0.011722729270626009,-0.007264006982361959,-0.003134868326237328,-0.010258249931663355,0.0024346126786758404,0.008474500165159604,0.0029295282271772916,0.0028788719737009583,-0.01758252436776586,0.013983142085286726,-0.0013139867368354707,-0.001025739883473542,-0.010886384744848376,-0.017987453598134584,-0.029585684034090898,-0.029593861508514285,-0.0014818454159473138,-0.009903845879031481,-0.03974444058968429,-0.07999994779216701,-0.03708524575488681,-0.014911277207638518,-0.017971085517364038,-0.0005749390886210515,-0.00858392643069672,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
2023-12-05,0.01773049336675947,0.016440433008253708,-0.004372286021460892,0.0174274783144428,0.014114448474828345,0.0,0.01834856319353939,0.017389203195450342,0.003610107481969882,-0.015446994757690846,0.01572323814411347,-0.0017870399359589673,0.04285718869031396,-0.002134944142698325,0.036194962832508004,-0.0015602001694697831,0.011185734257410651,-0.020872163300728053,0.006578886882995683,0.009240260815434942,0.015722692273415273,0.0006685214915931326,-0.007452580493899963,0.0007091849654907723,0.0024732439746928403,0.0,-0.028497926498126214,-0.013888906403592971,-0.005405309727739449,0.017029152347442622,0.011191626235055985,0.015535006861352896,0.005094497182482782,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
2023-12-06,-0.013937336872690831,0.0,0.008155627507879126,-0.0016886517936646195,-0.028691442467658312,-0.021413913002566454,-0.006005899937912007,0.0007871718724936638,-0.0005138744981110221,0.002477240265238656,0.021671860578184265,-0.001789939409441943,-4.585686157965174e-05,-0.00427886150579071,-0.014462361439747329,0.00493767130446332,0.006637225862340612,0.0002538806361047641,0.0,-0.018311387110354405,-0.009288111098858076,0.004075088703318741,-0.01569969464400711,-0.03047466625994022,0.0044407998839024465,0.014857423008393322,-0.004469819725423374,0.023160790927858388,-0.002038107413968482,0.003721169801151447,-0.00777743726366642,0.0025496963002256123,-0.00027986567984533695,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1
2023-12-07,0.003533607051329213,0.0026034897193740747,-0.004355961260583796,0.0036248249139296806,8.00820718696027e-05,0.016223292761629926,0.00604218871876272,-0.0006741494768749412,0.0,0.008237221661642202,0.007878847812716527,-0.0017935494281123843,0.003653159943877826,0.018697945497568424,0.02437497673260025,0.019031015797769335,0.0,0.011417024609158943,0.032679823844025346,0.008290274988640656,0.017162976244157635,-0.004723913207157815,-0.0013868376140254712,-0.0043862947316938294,0.00687740085327615,-0.015219708607055904,0.0056123608982281414,0.048175694518764134,0.009530244212859307,0.0009266362534048334,-0.00663235026113862,-0.0008477760318665872,0.0036389924289037534,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0
2023-12-08,0.01760563109720481,0.0014364231305163955,-0.00937490466399371,-0.015169737782318893,-0.0020811723447419217,0.010766664518191194,0.015015009555627623,-0.020013439853144965,-0.0015424161026336147,0.007352868569854287,0.0,0.010420435428919239,0.0,-0.000807731184758409,-0.025373378416445713,0.016173295018191425,0.0021977309579945814,0.004640586570142435,0.0,0.013361015490940487,0.007740033597674056,-0.010562191271115462,0.033333191528264194,0.028634603732943686,-0.006667776349144172,-0.004121303753997663,0.05274197760950505,-0.010961526221972218,-0.010114553092551382,-0.0027778528380926204,0.0031866306817118772,-0.0200791572318324,0.0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2023-12-11,0.0,0.013792371550420235,0.0012616891791599194,-0.0009780560915327863,-0.0011229326149500007,-0.00018355638165445942,-0.01775133646761451,-0.00126216992326722,-0.02214200292332902,0.008921303631413746,-0.025856905995095936,-0.00889041591291373,-0.01724359909407136,0.0004940436601079679,0.017065371460543766,-0.005225272611728449,0.0021929115284404777,-0.003994881686076424,-0.01898731542917831,-0.009127933772808405,-0.013824663698920991,-0.0199984549917811,-0.008736528423229029,-0.00927916276230889,0.0008184251192184799,0.01906597278562816,-0.004241371653632142,-0.02294374023241763,0.006811988662762225,-0.009284818171964693,-0.0007563879465681822,0.006348887944602533,-0.002628525804671822,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
2023-12-12,-0.013840884992070479,0.0,0.0,-0.005628983639410778,0.0061833051160538055,-0.02953345364423865,-0.009036157393735533,0.0,0.01895722322318205,0.0,0.010493805191299943,0.012916928599365773,0.01245350182202598,0.0,0.0,0.0,-0.0021881131898010553,0.0,0.0,-0.00511786389771296,-0.009345573384940464,0.0017924434200808914,-0.01694915110577433,-0.014409051755078894,-0.009978624685750725,0.004060856620524023,-0.003993037031722935,-0.015920388417651532,-0.008795733133713846,0.0,0.0,0.004588585927888245,0.0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2023-12-13,0.03859652581880124,0.018774542147273587,-0.006301069747147059,0.02904263240172611,0.03982437225854074,0.009142609052718464,0.06079024372719344,0.01539355031753753,0.026356697121217465,0.037781352481697006,0.004887055001678853,0.03152696230665719,0.008276749638001846,0.007945758839010608,0.02216774251504927,0.022157999318830557,0.03070170670596606,0.017798964371646298,0.006451629033489725,0.029835226996520525,0.04088043866088675,0.028703813203174944,0.017241377823781212,0.02485357623221862,0.039656203203420004,0.03206718141961873,0.03367625577144695,0.1007077259415814,0.012969315495550804,0.02155546957884602,0.0277019986574778,0.029403452935326202,0.027029347889347632,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1
2023-12-14,-0.01689188971254263,0.009454467388349874,0.03107165686986013,-0.004065981481744196,0.07705895517819261,0.006606600704482046,0.011461279709361838,-0.0028284772400644087,0.022154856107377885,0.047250347443894336,0.012097246208786494,0.01304930962688955,0.02721083650667988,0.0005344368041775294,0.019530253847104273,0.013467167788422385,0.01914903833902115,0.048152625148062844,0.022472651047899417,0.011987857465585394,0.0060419838316694285,0.16671201497683086,0.029152543292304545,0.02425103340427759,0.0379848918180945,-0.0020995658126106154,0.056367227375615725,0.04740030602937373,0.008760250667739555,0.009174492620891206,0.02887017379989887,0.006655624712868846,0.01630810306372177,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
2023-12-15,-0.010309202006572038,-0.013810980455004396,-0.010455183789859546,-0.0206533087338453,0.07147425204456348,0.024001287993448805,0.005665703640506781,0.004538363997111716,-0.011329830733763036,-0.0029587332836860103,0.009069587017704439,-0.02067792989685957,0.00044147602733546343,-0.007389186009852278,0.063168425558501,0.0014570045716157942,-0.012526140183828804,0.03877326109975776,0.006640075443154592,0.000987457005949377,-0.012012198379521166,0.03538786678913608,-0.015151550091426214,-0.0062671885420994,-0.019445676625751696,-0.0018231794166242432,0.006975859427814202,0.0038590023368549886,-0.0006681286776735185,-0.02090921436651061,-0.014888916600118818,-0.007438143593447077,-0.0023909563501551268,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0
2023-12-18,0.024305531547882175,0.0033804397427712463,0.013673012559278552,0.019127101381373413,0.007648340337332193,0.0007324804587043321,0.011267487371348306,0.008018926127529191,-0.023916285089872313,0.006676636084635534,-0.014880995996263913,0.004153723310637014,-0.020300057760378354,0.014619441122495802,-0.007597110840481092,0.015014878163884138,0.021141681114544175,0.0072392512528960395,0.0,0.0,0.021276675760939723,0.011861311920240203,0.02675595185082691,0.02522764110990905,0.005152960012153818,0.014612970020652982,0.006563075106158722,-0.013454485322767495,0.016042732662218118,0.012070512791230392,0.02179911928933831,0.0022788713445627273,0.007833633232430692,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
2023-12-19,0.010169415670542747,0.010641668084624856,-0.023911654989296705,0.008180984110065959,0.016236580245242882,0.0036596408838618366,0.002785707236471202,-0.021848709933561805,0.001020928700604884,0.0029476180035845623,0.00906342553539985,0.004825900674141126,0.02207219258073634,0.000928252772115723,0.00016767694718677895,-0.004357606763990329,-0.022774482069400692,0.015945922310359517,0.0,0.0059040557402694205,0.005952374435881369,-0.004388774734398915,0.018240782300949165,0.018455087062617226,-0.0003106115050052205,0.007893571343057237,0.02583915249080393,0.026921706245560673,0.01052628473619599,0.009174492620891206,0.013938477268091054,0.010543661759130352,0.006922972889469303,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
2023-12-20,-0.02684565294242458,-0.006878653535456025,-0.013819082079603806,-0.016467798201858286,-0.016951487993802195,-0.011668085238510928,-0.022222627948233598,-0.006529271165037209,-0.02549718670542722,-0.01322551102246683,-0.008982017686936627,0.004116674600040948,-0.018951233600594364,-0.013379816256147925,-0.015811004518489602,-0.01946436866268053,-0.01483035672466626,-0.030728361131093784,-0.02110815529764165,-0.009881023100821729,-0.019230649366222097,-0.022599280872905858,-0.009596706062502958,-0.008053546879807527,-0.017715841463317172,-0.002473219000303395,-0.019538690324360508,-0.03242496622072111,-0.011718734995211366,-0.01818186808227218,-0.010520561385171212,-0.007138607502136574,-0.015320680621577931,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1
2023-12-21,0.006896626325039623,0.012893662398185901,0.012101916485981468,0.009463760213972217,0.008192593460794706,0.0014755261175609657,0.008523070683749134,0.016488083243584528,0.009942435071383926,0.026805610992748807,-0.003021141845133246,0.01605728427153852,-0.004941432985869798,0.002103442802229294,0.024693399708529684,0.009631709767194074,0.03440848125456952,0.02075482941466511,0.0026953305891144197,0.007983705660721041,0.01357454332551744,0.002968665697729689,0.005167977438253146,0.007442460660870065,0.020883033137657936,0.022589496139980847,0.03229290284372155,0.04295901998220231,0.03886703960521576,0.007407573057757411,-0.0009923592389050606,0.006360504890190022,0.009547734990583145,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0
2023-12-22,0.013342949132639781,-0.029298949387641215,-0.010698570880250058,0.008894290016231876,-0.006946445436828208,0.002763114329493499,0.017595333875027208,0.005671439882510176,0.0005180202598147332,0.011602722804819221,0.0060605936032074315,0.024882473417287665,-0.011286727836061439,-0.005404220024580186,0.0033793478242056807,-0.025943796014786358,0.012473994108670894,0.03440958463668031,0.010752788324999152,0.01485178684450883,0.014880836564983957,0.008936795813676124,0.014138828427745054,0.011417166055985195,-0.00015505244963776033,0.00862073214928305,0.018723164967343386,0.027858458843427858,-0.0019023310907630986,0.004595369092974977,0.0032637319954047506,0.003297648288146604,0.007340662876245241,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-26,0.007117350127716859,0.01858684312925285,0.0031807578454343677,0.0028590533177821342,0.005609220858430186,0.009184353515834465,0.017291091349666443,-0.004737323758529199,-0.009321478680676898,-0.010752812636632525,0.0030121177088322515,0.017060212212083314,0.0066209181588527954,0.0038619240697146395,0.012919722590178262,0.03487610421919074,0.008213919760932775,-0.00032405300742577303,0.013297810579404379,0.0029267097377985163,0.024926955968820774,0.0025386736578574265,0.025982211034685454,0.028552290016680137,-0.004959745687729944,-0.009748943854381853,-0.003424523657312495,0.01912206617938028,0.012071110040875688,0.013723965523643855,0.005657791593052908,0.005751691859244179,0.006186305009048487,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0
2023-12-27,0.003533571492189136,-0.011757263875488144,-0.0063412813229453135,0.0033261557995014623,-0.00177185489511833,-0.0014561615622978863,0.005665599712326941,-0.006346255036924653,0.005749898109711715,-0.0036231140241137494,-0.0030030721021723217,0.021716143178114766,-0.006577369930840238,-0.0041601419464475375,0.0014171579478048368,-0.029892078365427288,-0.006110219357238766,0.01307276610712682,0.018372691954809284,0.007782291696398103,0.007153162605687324,-0.010804586612030764,-0.0006176867842285771,-0.0012910921555819854,-0.002361652632266509,0.009575196585859924,0.010309070578216728,-0.005221115073823945,0.005021881935329375,0.007653100612282415,0.013923909220869835,0.0032681247232735355,0.00039973558178812985,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
